+---------+-------+--------+-------------+------+-------+
|   word  | first | middle | penultimate | last | total |
+---------+-------+--------+-------------+------+-------+
|    "    |  5.4  |  0.2   |     0.0     | 5.3  |  11.0 |
|    '    |  0.2  |  0.4   |     0.0     | 0.2  |  0.9  |
|    ,    |   0   |  3.1   |     2.5     | 1.3  |  6.8  |
|    .    |  0.0  |  0.7   |     0.1     | 0.0  |  0.9  |
|    !    |   0   |  0.0   |     0.7     |  0   |  0.7  |
|    ?    |   0   |  0.0   |     2.8     | 0.0  |  2.8  |
|   the   |  0.4  |  3.0   |     0.1     |  0   |  3.6  |
|    i    |  0.5  |  1.7   |     0.0     | 0.0  |  2.1  |
|    it   |  0.3  |  1.0   |     0.0     | 0.0  |  1.3  |
|   was   |  0.0  |  1.0   |     0.1     | 0.0  |  1.0  |
|   that  |  0.1  |  0.9   |     0.0     | 0.4  |  1.3  |
|   and   |  0.1  |  0.9   |     0.1     | 0.3  |  1.4  |
|    as   |  0.1  |  0.3   |     0.0     | 0.5  |  0.9  |
|    to   |  0.0  |  1.8   |     0.0     | 0.0  |  1.8  |
|    a    |  0.1  |  1.5   |     0.0     | 0.0  |  1.6  |
| [other] |  3.4  |  51.9  |     4.2     | 2.6  |  61.9 |
|  total  |  10.6 |  68.4  |     10.6    | 10.6 | 100.0 |
+---------+-------+--------+-------------+------+-------+
