+---------+-------+--------+-------------+------+-------+
|   word  | first | middle | penultimate | last | total |
+---------+-------+--------+-------------+------+-------+
|    "    |  10.1 |  0.0   |      0      | 10.1 |  20.2 |
|    '    |  0.0  |  0.5   |     0.0     | 0.0  |  0.6  |
|    ,    |   0   |  2.6   |     2.8     |  0   |  5.4  |
|    .    |   0   |  1.2   |     0.3     |  0   |  1.5  |
|    !    |   0   |  0.0   |     1.3     |  0   |  1.3  |
|    ?    |   0   |  0.0   |     5.5     |  0   |  5.6  |
|   the   |   0   |  1.9   |      0      |  0   |  1.9  |
|    i    |   0   |  2.2   |      0      |  0   |  2.2  |
|    it   |   0   |  1.1   |     0.0     |  0   |  1.1  |
|   was   |   0   |  0.3   |      0      |  0   |  0.3  |
|   that  |   0   |  0.9   |     0.0     |  0   |  0.9  |
|   and   |   0   |  0.5   |     0.0     |  0   |  0.5  |
|    as   |   0   |  0.1   |      0      |  0   |  0.1  |
|    to   |   0   |  1.7   |      0      |  0   |  1.7  |
|    a    |   0   |  1.1   |      0      |  0   |  1.1  |
| [other] |  0.0  |  55.6  |     0.2     | 0.0  |  55.6 |
|  total  |  10.1 |  69.7  |     10.1    | 10.1 | 100.0 |
+---------+-------+--------+-------------+------+-------+
