+---------+-------+--------+-------------+------+-------+
|   word  | first | middle | penultimate | last | total |
+---------+-------+--------+-------------+------+-------+
|    "    |  16.2 |  0.1   |     0.1     | 18.5 |  34.9 |
|    '    |  0.6  |  0.1   |     0.1     | 0.6  |  1.4  |
|    ,    |   0   |  1.3   |     2.0     | 2.6  |  5.9  |
|    .    |  0.0  |  1.6   |     0.6     | 0.0  |  2.2  |
|    !    |   0   |  0.0   |     3.2     |  0   |  3.3  |
|    ?    |   0   |  0.0   |     13.3    | 0.0  |  13.4 |
|   the   |  1.4  |  0.8   |     0.1     |  0   |  2.4  |
|    i    |  1.0  |  0.4   |     0.0     |  0   |  1.4  |
|    it   |  0.8  |  0.3   |     0.0     | 0.0  |  1.1  |
|   was   |  0.0  |  0.4   |     0.0     | 0.0  |  0.4  |
|   that  |  0.1  |  0.3   |     0.0     | 0.3  |  0.7  |
|   and   |  0.3  |  0.3   |     0.0     | 0.2  |  0.8  |
|    as   |  0.3  |  0.1   |     0.0     | 0.1  |  0.5  |
|    to   |  0.1  |  0.4   |     0.0     |  0   |  0.5  |
|    a    |  0.3  |  0.3   |     0.0     |  0   |  0.6  |
| [other] |  9.9  |  15.7  |     3.0     | 2.5  |  30.5 |
|  total  |  31.0 |  22.1  |     22.4    | 24.8 | 100.0 |
+---------+-------+--------+-------------+------+-------+
