+---------+-------+--------+-------------+------+-------+
|   word  | first | middle | penultimate | last | total |
+---------+-------+--------+-------------+------+-------+
|    "    |  2.6  |  0.2   |     0.3     | 2.3  |  5.3  |
|    '    |  1.6  |  0.1   |     0.1     | 1.4  |  3.2  |
|    ,    |   0   |  1.6   |     4.0     | 7.0  |  12.6 |
|    .    |  0.0  |  0.3   |     0.1     | 0.0  |  0.4  |
|    !    |   0   |  0.0   |     0.2     |  0   |  0.2  |
|    ?    |   0   |  0.0   |     0.6     | 0.0  |  0.6  |
|   the   |  3.8  |  1.6   |     0.3     |  0   |  5.7  |
|    i    |  2.6  |  0.4   |     0.0     |  0   |  3.0  |
|    it   |  2.2  |  0.3   |     0.0     | 0.0  |  2.6  |
|   was   |  0.1  |  0.9   |     0.1     | 0.1  |  1.0  |
|   that  |  0.3  |  0.3   |     0.1     | 0.7  |  1.5  |
|   and   |  0.8  |  0.4   |     0.1     | 0.6  |  1.9  |
|    as   |  0.8  |  0.2   |     0.0     | 0.3  |  1.3  |
|    to   |  0.2  |  0.7   |     0.1     |  0   |  0.9  |
|    a    |  0.7  |  0.6   |     0.1     |  0   |  1.4  |
| [other] |  26.3 |  19.2  |     6.8     | 6.7  |  58.4 |
|  total  |  42.0 |  26.8  |     12.9    | 19.1 | 100.0 |
+---------+-------+--------+-------------+------+-------+
