+---------+-------+--------+-------------+------+-------+
|   word  | first | middle | penultimate | last | total |
+---------+-------+--------+-------------+------+-------+
|    "    |  24.3 |  0.0   |      0      | 28.2 |  52.5 |
|    '    |  0.1  |  0.1   |     0.1     | 0.0  |  0.3  |
|    ,    |   0   |  1.1   |     0.7     |  0   |  1.9  |
|    .    |   0   |  2.3   |     1.0     |  0   |  3.3  |
|    !    |   0   |  0.0   |     5.0     |  0   |  5.1  |
|    ?    |   0   |  0.0   |     21.0    |  0   |  21.0 |
|   the   |   0   |  0.4   |      0      |  0   |  0.4  |
|    i    |   0   |  0.4   |      0      |  0   |  0.4  |
|    it   |   0   |  0.2   |     0.0     |  0   |  0.2  |
|   was   |   0   |  0.1   |      0      |  0   |  0.1  |
|   that  |   0   |  0.2   |      0      |  0   |  0.2  |
|   and   |   0   |  0.2   |     0.0     |  0   |  0.2  |
|    as   |   0   |  0.0   |      0      |  0   |  0.0  |
|    to   |   0   |  0.2   |      0      |  0   |  0.2  |
|    a    |   0   |  0.1   |      0      |  0   |  0.1  |
| [other] |  -0.0 |  14.0  |     0.3     | 0.1  |  14.1 |
|  total  |  24.4 |  19.3  |     28.1    | 28.3 | 100.0 |
+---------+-------+--------+-------------+------+-------+
